"","gene","wild","progenitor","progenitor.higher"
"1","gene-LOC103828782",10.4548156247211,1089.68569227557,TRUE
"2","gene-LOC103829033",2.35018510072043,10.2114027223189,TRUE
"3","gene-LOC103829180",2.18235176665704,10.2876545973692,TRUE
"4","gene-LOC103829776",0.04770125416591,125.483210305031,TRUE
"5","gene-LOC103830237",31.570726573779,1525.11369798897,TRUE
"6","gene-LOC103833356",87.0290191894497,1.14619909655275,FALSE
"7","gene-LOC103833848",15.4067266467085,11.7188353588361,FALSE
"8","gene-LOC103834789",2.88373355301762,3.82873475213896,TRUE
"9","gene-LOC103835584",1.30994993511291,3.68423061331615,TRUE
"10","gene-LOC103838647",239.66238580605,0.0798956183209965,FALSE
"11","gene-LOC103839347",6.12448412357806,2.36305738519393,FALSE
"12","gene-LOC103839376",52.9420802193731,148.955219592201,TRUE
"13","gene-LOC103839571",3.45275297226553,22.7460594560714,TRUE
"14","gene-LOC103839693",10.4645773251167,7.73993782700156,FALSE
"15","gene-LOC103839935",1.98516069099801,12.2483205497231,TRUE
"16","gene-LOC103843057",4.93906973201067,0.877429024953541,FALSE
"17","gene-LOC103844308",7.46258095565094,15.2600630993103,TRUE
"18","gene-LOC103845677",2.1567239488635,4.63517927812918,TRUE
"19","gene-LOC103846332",0.263382588070778,5.99877127406489,TRUE
"20","gene-LOC103846879",28.6176285985999,0.511083946859508,FALSE
"21","gene-LOC103847670",5.07939395136356,1.89603288335566,FALSE
"22","gene-LOC103847714",120.566630160125,26.8054065672859,FALSE
"23","gene-LOC103848078",5.44389462619874,10.5820527324993,TRUE
"24","gene-LOC103848533",193.421036094656,486.898657760178,TRUE
"25","gene-LOC103849452",0.136796609542856,6.7911275572847,TRUE
"26","gene-LOC103851904",0.0917297997324577,34.5797508367353,TRUE
"27","gene-LOC103852386",1.68925378932759,10.7863895885048,TRUE
"28","gene-LOC103852837",1.89453832040945,13.1733098771061,TRUE
"29","gene-LOC103852848",7.35080802219053,3.05091926747775,FALSE
"30","gene-LOC103852859",0.77098475159427,24.3059364593401,TRUE
"31","gene-LOC103853081",0.208312785606523,21.9646210536943,TRUE
"32","gene-LOC103853525",195.130611266708,10.5122960623588,FALSE
"33","gene-LOC103853785",25.5103940381746,27.0989466994796,TRUE
"34","gene-LOC103853810",35.5192842249694,14.275514168549,FALSE
"35","gene-LOC103853873",261.393276172982,0.393863631394831,FALSE
"36","gene-LOC103855709",364.890549257083,31.2892570227024,FALSE
"37","gene-LOC103861172",16.0213649576674,1.3127862535268,FALSE
"38","gene-LOC103862051",4.97811565391187,21.4031020756209,TRUE
"39","gene-LOC103862250",4.55692084721531,10.5834743881929,TRUE
"40","gene-LOC103863023",0.753462922305232,21.4132274484369,TRUE
"41","gene-LOC103863367",9.04053651764305,2.5824328525427,FALSE
"42","gene-LOC103863796",0.301047364667089,354.895878977819,TRUE
"43","gene-LOC103864347",5.6943810552293,14.7763140656938,TRUE
"44","gene-LOC103864894",0.150527288745454,17.2900518859107,TRUE
"45","gene-LOC103868178",0.590833697194725,0.350149398763314,FALSE
"46","gene-LOC103871085",330.776180528719,0.28955595847722,FALSE
"47","gene-LOC103874427",9.73095341233282,86.3517620196353,TRUE
"48","gene-LOC108870151",6.07250873316065,3.90174969587593,FALSE
"49","gene-LOC108872205",4.88543212121246,0.0886761294517256,FALSE
"50","gene-LOC108872310",5.51204656400232,5.35757707104491,FALSE
"51","gene-LOC117125673",2.92517593984845,57.4793506623909,TRUE
"52","gene-LOC117126536",0.199252628086847,14.4291976614813,TRUE
"53","gene-LOC117126600",0.434349781103481,115.82532024819,TRUE
"54","gene-LOC117127940",3.39613215568516,14.5688846408528,TRUE
"55","gene-LOC117130465",112.339547576948,2.57772261715066,FALSE
"56","gene-LOC117130469",47.4458163510952,0.942032573467359,FALSE
"57","gene-LOC117130471",108.812720440108,5.92597182956111,FALSE
"58","gene-LOC117131906",1.29184841931112,0.172961293178586,FALSE
"59","gene-LOC117131907",48.0037912064364,21.4014256420611,FALSE
"60","gene-LOC117132437",5.43826890948357,28.5039015854523,TRUE
"61","gene-LOC117132638",2.14508224268496,11.0554986840843,TRUE
"62","gene-LOC117133510",14.3770899400667,0.166310075969795,FALSE
"63","gene-MAM3-1",0.0495536766322091,19.6001214721788,TRUE
