"","Raphanus raphanistrum","Raphanus sativus var. caudatus","Raphanus raphanistrum munra"
"1",58,68,81
"2",71,83,169
"3",44,65,97
"4",57,65,104
"5",74,68,122
"6",65,111,128
"7",57,111,122
"8",62,65,122
"9",59,68,97
"10",65,85,97
