"","Brassica rapa","Brassica cretica","Brassica incana","Brassica macrocarpa","Brassica montana","Brassica villosa"
"1",3,0,0,4,0,1
"2",5,1,0,4,0,0
"3",4,0,1,4,0,2
"4",6,2,5,4,0,2
"5",1,0,1,4,3,1
"6",2,0,4,4,0,6
"7",12,2,4,4,0,2
"8",6,1,3,4,0,6
"9",3,2,0,4,0,3
"10",7,2,1,4,0,1
