"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.0127384037503618,0.398889797459633,201.040096846514,-0.0319346441836505,0.974555852375383
"Environmentwheat",-0.265147122914955,0.18361545512594,312.453130094583,-1.4440348865682,0.149731108721745
"Wild_DomWild",0.00235023023053015,0.517830612643782,261.737503683936,0.00453860813390515,0.996382184341056
"Environmentwheat:Wild_DomWild",0.251411012677663,0.204591565423518,311.362620113738,1.22884348705786,0.220058420918565
