control_R1 26362428 19214223
control_R10 27169922 19903084
control_R11 28047777 20750785
control_R12 23535292 17303908
control_R13 24789710 18218165
control_R14 24218776 17956793
control_R15 29463358 21888977
control_R16 25016249 18002372
control_R17 23585899 17469650
control_R18 23549982 17425686
control_R19 23626032 17353990
control_R2 25823632 19165185
control_R20 27686284 20163972
control_R21 23755278 17687851
control_R22 25144504 18478780
control_R23 23829659 17768649
control_R24 23565709 17423142
control_R25 24483821 17399939
control_R26 22260279 16152610
control_R27 21979148 16046303
control_R28 26096080 18289909
control_R29 21887161 15428493
control_R3 25766398 19195476
control_R30 27570919 20672886
control_R31 25098469 18584672
control_R32 23026635 16321501
control_R33 22799429 17043874
control_R34 24125747 17663565
control_R35 23511572 17471692
control_R36 28145045 20710932
control_R37 28362068 21083320
control_R38 28022651 20593519
control_R39 28041901 19761220
control_R4 26110190 19363510
control_R40 23212972 16874324
control_R41 24680241 18195977
control_R42 25362267 19245317
control_R43 28432819 21251364
control_R44 26531820 19708255
control_R45 27321572 20155086
control_R46 25420075 19277123
control_R47 27248971 20111647
control_R48 25077100 18567874
control_R5 25775763 19431827
control_R6 24972291 18637649
control_R7 26894235 19701775
control_R8 25998548 19265697
control_R9 22979691 16687080
