control_R1 23156393 20071265
control_R10 26575368 22888438
control_R100 25161741 21324195
control_R11 22132732 18756380
control_R12 22041122 17457300
control_R13 27017785 23282459
control_R14 22726403 18800209
control_R15 21131611 17039119
control_R16 21489312 17899898
control_R17 24805204 20173366
control_R18 21503304 17717923
control_R19 25096240 19579230
control_R2 27136776 23036154
control_R20 23413772 18913334
control_R21 21335996 16711321
control_R22 27526430 21867607
control_R23 23828713 19075621
control_R24 27155550 22398312
control_R25 21909962 17317487
control_R26 28068201 21947785
control_R27 23101964 18200182
control_R28 24726345 18999069
control_R29 25795766 19665603
control_R3 21118063 18210674
control_R30 24244258 19927649
control_R31 20936989 16772776
control_R32 23885758 19167073
control_R33 21232693 17214774
control_R34 22103028 18714836
control_R35 20090341 16489673
control_R36 24190401 19702798
control_R37 28159600 22172869
control_R38 21402716 15873574
control_R39 23481667 18106292
control_R4 26320844 22498290
control_R40 25514547 20430615
control_R41 23193077 19206495
control_R42 20429611 16965261
control_R43 19780149 15733742
control_R44 21911080 17491324
control_R45 20782161 16996906
control_R46 20372405 16849468
control_R47 21844816 16940299
control_R48 22283850 19511417
control_R49 22612699 19151059
control_R5 23149654 19728809
control_R50 22405257 19056748
control_R51 24563650 20805575
control_R52 22101686 19121485
control_R53 20045468 17249299
control_R54 22275315 19096376
control_R55 21128834 18410724
control_R56 22048550 18694424
control_R57 21527872 18531627
control_R58 13740092 10431034
control_R59 21884761 18805477
control_R6 23533630 19929359
control_R60 21891948 18711927
control_R61 20082171 16477724
control_R62 22188276 18840420
control_R63 20782228 16602270
control_R64 20042264 16363472
control_R65 20601105 16173363
control_R66 22041908 18937483
control_R67 22544767 19241596
control_R68 18861996 15348281
control_R69 19665448 16247689
control_R7 29321790 25146482
control_R70 19748783 16191191
control_R71 20805172 16804676
control_R72 26361748 21497119
control_R73 23937536 18788204
control_R74 24682236 20881337
control_R75 20961638 18265404
control_R76 21154086 17953660
control_R77 23732103 20386383
control_R78 20525490 16864500
control_R79 25767437 22022601
control_R8 25653960 21946271
control_R80 25134220 21370187
control_R81 30691286 26194390
control_R82 24588618 21178002
control_R83 21216503 17084201
control_R84 24993541 19567359
control_R85 20525186 18056714
control_R86 19346589 15911124
control_R87 22239340 18003619
control_R88 21555110 17271583
control_R89 23933187 20471665
control_R9 25440980 21802614
control_R90 24582526 21325657
control_R91 31929763 27461883
control_R92 20490210 17074879
control_R93 21408931 17563160
control_R94 25487299 21885068
control_R95 23400565 19961949
control_R96 29926555 21924397
control_R97 22038428 18560198
control_R98 21531472 18690910
control_R99 22349798 18489629
