"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.376,0.33,0.00123,-1.14,0.995
"Environmentwheat",0.692,0.37,107,1.87,0.0641
"Wild_DomWild",0.576,0.713,0.00666,0.808,0.98
"Environmentwheat:Wild_DomWild",-0.54,0.761,109,-0.709,0.48
