"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.203,0.166,25.7,1.22,0.234
"Environmentwheat",-0.33,0.19,111,-1.74,0.0847
"Wild_DomWild",-0.206,0.36,28.3,-0.574,0.57
"Environmentwheat:Wild_DomWild",-0.138,0.391,113,-0.354,0.724
